minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,under_pressure,is_goal
90,108.8,33.7,12.850291825480074,0.49537521553692754,Right Foot,Open Play,True,0
1,118.8,42.7,2.954657340538835,2.0590503673512277,Right Foot,Open Play,False,1
5,106.5,27.4,18.46645607581487,0.29295620386820576,Left Foot,Open Play,False,0
6,97.2,45.3,23.407904647789383,0.3026360143868368,Left Foot,Open Play,False,0
11,98.9,39.7,21.10213259365033,0.3434354424156251,Right Foot,Open Play,False,0
17,77.1,78.0,57.309772290596314,0.0957099244097025,Right Foot,Open Play,False,0
20,95.8,47.7,25.395472037353436,0.27347023876892934,Left Foot,Open Play,False,0
22,96.8,40.4,23.203448019637083,0.3128488701962653,Left Foot,Open Play,False,1
38,109.6,39.3,10.423531071570714,0.6742573257937047,Right Foot,Open Play,False,0
38,109.0,24.1,19.33416664870767,0.2198000645133802,Left Foot,Open Play,False,0
44,102.8,28.6,20.63492185592182,0.29630526448987776,Right Foot,Open Play,True,0
47,98.6,36.6,21.668410186259635,0.3308122131713648,Left Foot,Open Play,False,0
49,101.2,24.1,24.622144504490258,0.22808515986005806,Right Foot,Open Play,False,0
54,114.5,26.9,14.207744367069674,0.2104579505332551,Left Foot,Open Play,False,0
56,96.1,22.5,29.621951319924896,0.19977040717389472,Right Foot,Open Play,False,0
56,97.8,38.8,22.232408776378687,0.3258794723229339,Left Foot,Open Play,False,0
60,108.9,55.9,19.39123513343077,0.22042579837254506,Right Foot,Open Play,False,0
71,89.8,50.0,31.81257612957492,0.2178510394586136,Left Foot,Free Kick,False,0
72,101.5,22.1,25.74218327958994,0.20562651637734375,Right Foot,Open Play,True,0
79,111.0,29.4,13.905394636614957,0.35092085491230607,Right Foot,Open Play,False,0
85,98.5,32.0,22.940139493908923,0.29774822871745854,Right Foot,Open Play,False,0
2,105.0,35.0,15.811388300841896,0.43448924874391026,Right Foot,Open Play,True,1
3,92.2,28.6,30.046630426721723,0.22492867225663593,Left Foot,Open Play,True,0
5,99.4,26.3,24.739644298170493,0.2467518925785132,Left Foot,Open Play,False,0
8,114.0,29.0,12.529964086141668,0.29680613661659305,Left Foot,Open Play,True,0
10,105.1,45.1,15.748650735856712,0.4351443137629002,Head,Open Play,True,0
12,101.0,47.7,20.500975586542218,0.32935879116901345,Left Foot,Open Play,False,1
